title,text,subject,date
"FBI Says Hillary Clinton Emails Don't Warrant Charges","The FBI director said a review of new emails related to Hillary Clinton did not change the bureau's conclusion.","Politics","2016-11-06"
"Donald Trump Wins US Election","Donald Trump has been elected the 45th president of the United States, in a stunning result.","Politics","2016-11-09"
"Scientists Discovery New Planet in Deep Space","Astronomers have identified a potentially habitable planet orbiting a nearby star system.","Science","2023-05-12"
"Apple Announces New iPhone with Neural Link","Apple unveiled its latest smartphone featuring advanced AI integration and neural processing.","Technology","2023-09-14"
"Global Markets Rally on Economic Recovery News","Stock markets across the globe saw significant gains following positive unemployment reports.","Economy","2023-08-20"
"New Study Suggests Coffee Improves Memory","Research published in the Journal of Health indicates that moderate coffee consumption is beneficial.","Health","2023-03-10"
"SpaceX Successfully Lands Starship Prototype","SpaceX achieved a major milestone by successfully landing its Starship prototype during a test.","Space","2021-05-05"
"Mars Rover Finds Ancient Water Evidence","The Perseverance rover has discovered samples that prove water once flowed on the Martian surface.","Science","2022-11-20"
"Tesla Opens New Gigafactory in Europe","Elon Musk inaugurated the latest Tesla manufacturing plant in Berlin to boost production.","Business","2022-03-22"
"WHO Declares End to Global Health Emergency","The World Health Organization officially declared that the recent pandemic is no longer an emergency.","Health","2023-05-05"
